day,details,temperature
Tonight,"A slight chance of rain after 3am. Mostly cloudy, with a low around 38. South wind 15 to 20 mph, with gusts as high as 30 mph. Chance of precipitation is 20%.",38
Tuesday,"A slight chance of rain before 9am. Mostly cloudy, with a high near 58. South wind 10 to 20 mph, with gusts as high as 30 mph. Chance of precipitation is 20%.",58
Tuesday Night,"Mostly cloudy, with a low around 39. East wind 5 to 10 mph.",39
Wednesday,"Partly sunny, with a high near 61. Northeast wind around 10 mph.",61
Wednesday Night,"A chance of rain between 7pm and 1am. Mostly cloudy, with a low around 36. Northeast wind 10 to 15 mph, with gusts as high as 25 mph. Chance of precipitation is 30%.",36
Thursday,"Partly sunny, with a high near 54. North wind 10 to 15 mph, with gusts as high as 20 mph.",54
Thursday Night,"Partly cloudy, with a low around 31. Northeast wind around 10 mph.",31
Friday,"Mostly sunny, with a high near 56. North wind around 10 mph.",56
Friday Night,"Mostly clear, with a low around 34. Southeast wind around 10 mph.",34
Saturday,"A chance of rain after 1pm. Mostly sunny, with a high near 59. Chance of precipitation is 30%.",59
Saturday Night,"A chance of rain. Mostly cloudy, with a low around 35. Chance of precipitation is 40%.",35
Sunday,"A chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 40%.",51
Sunday Night,"A chance of rain before 1am, then a slight chance of rain and snow. Mostly cloudy, with a low around 28. Chance of precipitation is 30%.",28
Monday,"A slight chance of rain and snow before 7am. Mostly sunny, with a high near 52. Chance of precipitation is 20%.",52
